,,,,,,,,,,,
,,,,,API Keys,sd_60b1238e7031476201b0e2ef501d495c,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Hạng mục,,Link Linkedin expert,"Ngách
(B2B SaaS vs General)",Tại sao chọn? (Signal),,,,Link Video,Key highlight
1,Linkedin,,Will Allred,https://www.linkedin.com/in/williamallred/,,,,,,https://www.linkedin.com/in/williamallred/recent-activity/all/,
2,Linkedin,,Taylor Haren,https://www.linkedin.com/in/taylorharen/,,,,,,https://www.linkedin.com/posts/taylorharen_50-million-cold-emails-sent-over-10-million-activity-7449850459357351936-V6LY?utm_source=share&utm_medium=member_desktop&rcm=ACoAADrv6twB6Unf1CoT90ZdmYN89ucoBAStcbY,
3,YouTube,Strategy,Dan Martell ,https://www.linkedin.com/in/dmartell/,B2B SaaS Specific,Chiến lược email để giảm tỷ lệ rời bỏ (Churn) và tăng doanh thu (LTV).,,"
Email Marketing Strategies For B2B SaaS Companies",,https://www.youtube.com/watch?v=PXl4tub30d0&t=1s,"## Key Highlight

### Framework

**1. Lifecycle Email System**
- New Lead → Prospect Nurture → Customer Engagement → Long-term Nurture  
- Maps email marketing to the full customer journey instead of isolated campaigns  

**2. Operating Principles**
- Move users step-by-step (A → B → C), not A → Z  
- Use real customer language (echo marketing)  
- Treat email as a long-term asset, not a channel  
- Every email must drive a clear next action  

### Why this matters

- Turns email from “sending campaigns” into a scalable system  
- Matches how B2B buyers actually make decisions (slow, multi-step)  
- Can be automated, reused, and optimized over time → strong growth leverage  "
4,YouTube,Tactics,Alex Berman,https://www.linkedin.com/in/alexanderberman/,B2B Cold Email,Hàng trăm video về kịch bản Cold Email cho từng ngách B2B khác nhau.,,,,https://www.youtube.com/watch?v=WsMmo2VfcW4,"## Key Highlight

### Core Idea

- Use AI to detect hidden personal signals and shared identity traits  
- Leverage these signals to create stronger emotional alignment in cold emails  

### Execution Approach

**1. Signal extraction via AI**
- Analyze:
  - social profiles
  - follower patterns
  - interests and affiliations  

**2. Tribal alignment**
- Identify shared identity:
  - beliefs
  - interests
  - communities  
- Reflect it in messaging to increase trust  

**3. Extreme personalization**
- Move beyond:
  - name/company personalization  
- Toward:
  - identity-level relevance  

### Why this matters

- Shows the future direction of personalization at scale  
- Demonstrates how AI can increase relevance beyond basic targeting  
- Highlights the trade-off between creativity and risk in outbound  

Has Cold Email 101 series. Although i don't think the tactics is phù hợp cho tất cả doanh nghiệp trog tất cả trường hợp. But, it may works 1 cách kì lạ in someways. And learning  a new tactics to know wwhat people really do out there"
,,Tactics/Execution,,,,,,,,https://www.youtube.com/watch?v=Ikndrts8NQU&t=19s,"## Key Highlight

### Core Insight

- Volume does not fix bad targeting  
- Campaign performance is driven by:
  - Segment quality
  - Offer relevance  

### Execution Logic

**1. Targeting-first approach**
- Start with a large dataset → aggressively filter down
- Use:
  - role
  - company size
  - geography
  - behavioral signals (content engagement)

**2. Validate before scaling**
- Test on ~200 highly relevant leads  
- If reply rate ≥ 2% → scale  
- If not → fix segment or offer  

**3. Infrastructure ≠ advantage**
- Domains, inboxes, warm-up only matter after:
  - targeting works
  - offer is validated  

### Why this matters

- Prevents wasted budget on scaling broken campaigns  
- Shifts focus from volume → precision  
- Directly improves reply rate and meeting quality  "
5,YouTube,Framework + Tactics,"Kennedy
(Kennedy Email Marketing Show)",https://www.linkedin.com/in/mindofkennedy/,,,,,,https://www.youtube.com/watch?v=_ryHpIU9qVY,"Framework: Daily Email Monetization System

1. Structure

Email Engine (automation onboarding)
Content Engine (daily emails)

2. Content system

Build “story bank” từ personal experience
Use AI to map story → marketing message

3. Conversion principle

Every email must:
create connection
include CTA
drive to landing page

4. Offer framing

CTA dựa trên:
Faster
Easier
Certainty

Why this matters
Giải quyết vấn đề lớn nhất của email marketing: không có content để gửi đều
Biến email từ “campaign” → daily revenue system
Tạo moat:
personal story (AI không replicate được)"
